No,Symboling,Normalized-losses,Make,type,Aspiration,Num-of-doors,Body-style,Drive-wheels,Engine-location,Wheel-base,Curb-weight,Engine-type,Num_cylinders,Fuel-system,Compression-ratio,Horsepower,peak-rpm,city-mpg,highway-mpg,Load-date
232,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,2004,ohc,four,2bbl,9.4,68,5500,31,38,4/01/2001
233,1,161,mitsubishi,gas,turbo,two,hatchback,fwd,front,93.0,2145,ohc,four,spdi,7.6,102,5500,24,30,4/01/2001
234,3,153,mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,2370,ohc,four,spdi,7.5,116,5500,23,30,4/01/2001
235,1,122,nissan,gas,std,four,sedan,fwd,front,94.5,1938,ohc,four,2bbl,9.4,69,5200,31,37,5/01/2001
236,1,103,nissan,gas,std,four,wagon,fwd,front,94.5,2024,ohc,four,2bbl,9.4,69,5200,31,37,5/01/2001
237,0,?,peugot,gas,std,four,wagon,rwd,front,114.2,3230,l,four,mpfi,8.4,97,5000,19,24,5/01/2001
238,0,?,peugot,diesel,turbo,four,wagon,rwd,front,114.2,3430,l,four,idi,21.0,95,4150,25,25,5/01/2001
239,0,161,peugot,gas,std,four,sedan,rwd,front,107.9,3075,l,four,mpfi,8.4,95,5000,19,24,5/01/2001
240,0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,3252,l,four,idi,21.0,95,4150,28,33,5/01/2001
241,3,?,alfa-romero,gas,std,two,convertible,rwd,front,88.6,2548,dohc,four,mpfi,9.0,111,5000,21,27,2/01/2001
242,3,?,alfa-romero,gas,std,two,convertible,rwd,front,88.6,2548,dohc,four,mpfi,9.0,111,5000,21,27,2/01/2001
243,1,?,alfa-romero,gas,std,two,hatchback,rwd,front,94.5,2823,ohcv,six,mpfi,9.0,154,5000,19,26,2/01/2001
244,2,164,audi,gas,std,four,sedan,fwd,front,99.8,2337,ohc,four,mpfi,10.0,102,5500,24,30,2/01/2001
245,2,164,audi,gas,std,four,sedan,4wd,front,99.4,2824,ohc,five,mpfi,8.0,115,5500,18,22,2/01/2001
246,2,?,audi,gas,std,two,sedan,fwd,front,99.8,2507,ohc,five,mpfi,8.5,110,5500,19,25,2/01/2001
247,2,192,bmw,gas,std,two,sedan,rwd,front,101.2,2395,ohc,four,mpfi,8.8,101,5800,23,29,2/01/2001
248,0,192,bmw,gas,std,four,sedan,rwd,front,101.2,2395,ohc,four,mpfi,8.8,101,5800,23,29,2/01/2001
249,0,188,bmw,gas,std,two,sedan,rwd,front,101.2,2710,ohc,six,mpfi,9.0,121,4250,21,28,2/01/2001
250,0,188,bmw,gas,std,four,sedan,rwd,front,101.2,2765,ohc,six,mpfi,9.0,121,4250,21,28,2/01/2001
251,1,?,bmw,gas,std,four,sedan,rwd,front,103.5,3055,ohc,six,mpfi,9.0,121,4250,20,25,2/01/2001
252,0,102,subaru,gas,std,four,sedan,4wd,front,97.0,2385,ohcf,four,2bbl,9.0,82,4800,24,25,6/01/2001
253,0,102,subaru,gas,turbo,four,sedan,4wd,front,97.0,2510,ohcf,four,mpfi,7.7,111,4800,24,29,6/01/2001
254,0,89,subaru,gas,std,four,wagon,fwd,front,97.0,2290,ohcf,four,2bbl,9.0,82,4800,28,32,6/01/2001
255,0,89,subaru,gas,std,four,wagon,fwd,front,97.0,2455,ohcf,four,mpfi,9.0,94,5200,25,31,6/01/2001
256,0,85,subaru,gas,std,four,wagon,4wd,front,96.9,2420,ohcf,four,2bbl,9.0,82,4800,23,29,7/01/2001
257,0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,3252,l,four,idi,21.0,95,4150,28,33,5/01/2001
258,0,?,peugot,gas,std,four,wagon,rwd,front,114.2,3285,l,four,mpfi,8.4,95,5000,19,24,5/01/2001
259,0,?,peugot,diesel,turbo,four,wagon,rwd,front,114.2,3485,l,four,idi,21.0,95,4150,25,25,5/01/2001
260,0,161,peugot,gas,std,four,sedan,rwd,front,107.9,3075,l,four,mpfi,8.4,97,5000,19,24,5/01/2001
261,0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,3252,l,four,idi,21.0,95,4150,28,33,5/01/2001
262,0,161,peugot,gas,turbo,four,sedan,rwd,front,108.0,3130,l,four,mpfi,7.0,142,5600,18,24,5/01/2001
264,1,119,plymouth,gas,turbo,two,hatchback,fwd,front,93.7,2128,ohc,four,spdi,7.6,102,5500,24,30,6/01/2001
